model_name,accuracy,precision,recall,f1
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
knn_classifier,0.7235494880546075,0.7180006816154613,0.7235494880546075,0.7041393016787929
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
tuned_extreme_random_forest,0.8600682593856656,0.8355455454072304,0.8600682593856656,0.8346805118136177
extreme_random_forest,0.7849829351535836,0.7583556252498233,0.7849829351535836,0.7681447471405836
mlp_classifier,0.7747440273037542,0.7494097652712962,0.7747440273037542,0.75929510170941
tuned_mlp_classifier,0.7781569965870307,0.736869548729617,0.7781569965870307,0.7428862645084288
mlp_classifier,0.7918088737201365,0.7626589196555068,0.7918088737201365,0.7738175907270641
tuned_mlp_classifier,0.78839590443686,0.7775501806392946,0.78839590443686,0.7585242983658123
ridge_classifier,0.7133105802047781,0.6256117766528468,0.7133105802047781,0.666560267144646
ridge_classifier,0.7133105802047781,0.6256117766528468,0.7133105802047781,0.666560267144646
ridge_classifier,0.7133105802047781,0.6256117766528468,0.7133105802047781,0.666560267144646
tuned_ridge_classifier,0.7098976109215017,0.6225780261788233,0.7098976109215017,0.6633480607603859
ada_boosting_classifier,0.8020477815699659,0.7706084058389013,0.8020477815699659,0.7847752677104212
ada_boosting_classifier,0.8020477815699659,0.7706084058389013,0.8020477815699659,0.7847752677104212
tuned_ada_boosting_classifier,0.8327645051194539,0.822383166268039,0.8327645051194539,0.7986269217604541
