model_name,accuracy,precision,recall,f1
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
knn_classifier,0.7235494880546075,0.7180006816154613,0.7235494880546075,0.7041393016787929
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
tuned_extreme_random_forest,0.8600682593856656,0.8355455454072304,0.8600682593856656,0.8346805118136177
extreme_random_forest,0.7849829351535836,0.7583556252498233,0.7849829351535836,0.7681447471405836
mlp_classifier,0.7747440273037542,0.7494097652712962,0.7747440273037542,0.75929510170941
tuned_mlp_classifier,0.7781569965870307,0.736869548729617,0.7781569965870307,0.7428862645084288
mlp_classifier,0.7918088737201365,0.7626589196555068,0.7918088737201365,0.7738175907270641
tuned_mlp_classifier,0.78839590443686,0.7775501806392946,0.78839590443686,0.7585242983658123
ridge_classifier,0.7133105802047781,0.6256117766528468,0.7133105802047781,0.666560267144646
ridge_classifier,0.7133105802047781,0.6256117766528468,0.7133105802047781,0.666560267144646
ridge_classifier,0.7133105802047781,0.6256117766528468,0.7133105802047781,0.666560267144646
tuned_ridge_classifier,0.7098976109215017,0.6225780261788233,0.7098976109215017,0.6633480607603859
ada_boosting_classifier,0.8020477815699659,0.7706084058389013,0.8020477815699659,0.7847752677104212
ada_boosting_classifier,0.8020477815699659,0.7706084058389013,0.8020477815699659,0.7847752677104212
tuned_ada_boosting_classifier,0.8327645051194539,0.822383166268039,0.8327645051194539,0.7986269217604541
sgd_classifier,0.7986348122866894,0.7686115695338489,0.7986348122866894,0.7697464718506883
sgd_classifier,0.7986348122866894,0.7686115695338489,0.7986348122866894,0.7697464718506883
sgd_classifier,0.7986348122866894,0.7686115695338489,0.7986348122866894,0.7697464718506883
sgd_classifier,0.7986348122866894,0.7686115695338489,0.7986348122866894,0.7697464718506883
tuned_sgd_classifier,0.757679180887372,0.7380580107542565,0.757679180887372,0.7137410145059904
sgd_classifier,0.7986348122866894,0.7686115695338489,0.7986348122866894,0.7697464718506883
tuned_sgd_classifier,0.757679180887372,0.7380580107542565,0.757679180887372,0.7137410145059904
nearest_centroid_classifier,0.4334470989761092,0.7202809372935162,0.4334470989761092,0.4935746157402441
nearest_centroid_classifier,0.4334470989761092,0.7202809372935162,0.4334470989761092,0.4935746157402441
tuned_nearest_centroid_classifier,0.4948805460750853,0.6180750238055094,0.4948805460750853,0.5305246536164022
bernoulli_nb_classifier,0.6723549488054608,0.6423422993388864,0.6723549488054608,0.6528859596329043
bernoulli_nb_classifier,0.6723549488054608,0.6423422993388864,0.6723549488054608,0.6528859596329043
gaussian_nb_classifier,0.310580204778157,0.8275755969228054,0.310580204778157,0.42526752015061536
bernoulli_nb_classifier,0.6723549488054608,0.6423422993388864,0.6723549488054608,0.6528859596329043
gaussian_nb_classifier,0.310580204778157,0.8275755969228054,0.310580204778157,0.42526752015061536
bernoulli_nb_classifier,0.6723549488054608,0.6423422993388864,0.6723549488054608,0.6528859596329043
gaussian_nb_classifier,0.310580204778157,0.8275755969228054,0.310580204778157,0.42526752015061536
bernoulli_nb_classifier,0.6723549488054608,0.6423422993388864,0.6723549488054608,0.6528859596329043
gaussian_nb_classifier,0.310580204778157,0.8275755969228054,0.310580204778157,0.42526752015061536
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
tuned_extreme_random_forest,0.8737201365187713,0.8729831783167895,0.8737201365187713,0.8538921084063127
extreme_random_forest,0.8395904436860068,0.8444776404982636,0.8395904436860068,0.8197728440705079
tuned_extreme_random_forest,0.8737201365187713,0.8729831783167895,0.8737201365187713,0.8538921084063127
gradient_boosting,0.8532423208191127,0.841007622293788,0.8532423208191127,0.8372888772206177
tuned_gradien_boosting,0.863481228668942,0.889786065096146,0.863481228668942,0.8335125531815418
knn_classifier,0.7235494880546075,0.7180006816154613,0.7235494880546075,0.7041393016787929
logistic_regression,0.7542662116040956,0.7200275829337577,0.7542662116040956,0.7176943379688766
tuned_knn_classifier,0.825938566552901,0.8065089928125987,0.825938566552901,0.8041479882973974
random_forest_classifier,0.8737201365187713,0.8920976634287213,0.8737201365187713,0.8474683754931797
random_forest_classifier,0.8737201365187713,0.8920976634287213,0.8737201365187713,0.8474683754931797
tuned_random_forest_classifier_classifier,0.8771331058020477,0.89455788074086,0.8771331058020477,0.8506302537284579
extreme_boosting_classifier,0.856655290102389,0.8422440553549357,0.856655290102389,0.8442784118703418
extreme_boosting_classifier,0.856655290102389,0.8422440553549357,0.856655290102389,0.8442784118703418
tuned_extreme_boosting_classifier,0.8668941979522184,0.8724443042290864,0.8668941979522184,0.8499126347318885
